1,2010,2010,269,66.17,"2,778",255,13.26,50.47,9.1,7.8,40.43
2,2010,2010,154,67.53,"1,462",148,25.53,63.57,6,16.03,30.43
3,2010,2010,225,68.44,"1,590",217,8.48,54.55,10.58,12.07,34.88
4,2010,2010,329,78.12,"6,127",297,5.23,40.48,5.65,3.03,53.88
5,2010,2010,314,66.56,"2,653",307,14.15,76.5,2.6,10.12,20.9
6,2010,2010,426,63.85,"3,281",414,7.79,62.42,7.04,23.8,30.54
7,2010,2010,88,85.23,872,84,29.67,43.23,13.4,11,43.37
8,2010,2010,140,67.86,"1,170",136,10.53,64.75,8,11.8,27.25
9,2010,2010,177,72.32,"2,681",162,10.38,56.5,7.03,20,36.48
10,2010,2010,182,65.93,"2,009",173,6.71,37.56,9.32,6.77,53.12
11,2010,2010,209,59.33,"1,088",207,20.83,62.27,4.6,10.9,33.13
12,2010,2010,32,62.5,258,31,3.45,59.8,7.3,11.55,32.9
13,2010,2010,173,62.43,"1,438",166,7.76,51.85,6.75,10.93,41.4
14,2010,2010,"2,985",64.05,"85,143",2818,23.33,49.37,4.87,16.23,45.77
15,2010,2010,55,72.73,501,53,6.25,55.1,10.53,4.2,34.37
16,2010,2010,491,65.38,"5,649",474,9.89,73.43,3.8,12.17,22.78
17,2010,2010,146,60.27,767,144,20.75,51.07,7.13,7.9,41.8
18,2010,2010,711,66.24,"8,523",683,7.51,56.7,4.88,8.24,38.43
19,2010,2010,884,59.95,"10,955",862,18.89,52.12,4.88,15.6,43
20,2010,2010,149,61.74,989,146,4.1,53.43,10,12.65,36.57
21,2010,2010,225,68.89,"4,279",209,19.05,51.53,7.27,4.97,41.2
22,2010,2010,350,69.14,"3,412",334,26.72,67.37,3.5,16.78,29.13
23,2010,2010,311,62.7,"2,005",303,6.64,44.7,9.3,18.63,46
24,2010,2010,178,69.1,"1,173",172,1.55,42.23,10.58,6.8,47.2
25,2010,2010,263,65.4,"2,149",254,7.18,62.47,4.9,11.6,32.63
26,2010,2010,408,60.54,"41,601",390,14.52,57.8,7.55,6.92,34.65
27,2010,2010,278,74.1,"2,549",269,6.81,66.3,4.94,8.13,28.76
28,2010,2010,386,68.39,"2,803",375,9.36,69.53,6.1,12.05,24.37
29,2010,2010,174,71.26,"2,889",163,11.54,49.55,6.8,4.64,43.65
30,2010,2010,810,62.59,"15,541",756,19.21,73.7,3.7,NA,22.6
31,2010,2010,234,59.83,"1,752",227,3.47,63.42,7.46,12.63,29.12
32,2010,2010,216,70.37,"4,256",206,33.96,59,8.77,21.7,32.23
33,2010,2010,212,63.68,"1,142",209,7.65,39.23,10.83,5.2,49.93
34,2010,2010,861,68.99,"12,954",828,10.34,67.23,3.8,7.65,28.97
35,2010,2010,"1,100",67.55,"29,523",1063,8.07,58.78,4.9,13.53,36.33
36,2010,2010,228,63.6,"1,576",223,3.17,50.97,8.1,9.33,40.93
37,2010,2010,463,72.14,"7,894",431,10.97,53.97,5.73,2.75,40.3
38,2010,2010,219,62.1,"3,220",204,9.8,74.05,2.2,7.88,23.75
39,2010,2010,411,67.15,"4,089",397,22.13,55.55,4.35,11.58,40.1
40,2010,2010,157,56.05,"3,220",148,11.11,53.78,7.13,18.4,39.1
41,2010,2010,475,56.42,"15,720",448,24.38,36.76,7.54,8.97,55.7
42,2010,2010,553,67.27,"10,386",520,15.51,61,6.13,12.8,32.87
43,2010,2010,205,60.49,"1,403",200,7.41,61.68,9.28,24.2,29.04
44,2010,2010,246,69.92,"2,398",238,6.9,42.58,13.65,NA,43.78
45,2010,2010,360,65.28,"4,281",349,22.71,47.1,8.17,8.4,44.73
46,2010,2010,149,59.06,"1,203",145,9.01,46.7,5,18.32,48.3
47,2010,2010,246,66.26,"1,730",238,14.21,41.87,10.4,10.2,47.73
48,2010,2010,244,67.21,"7,213",227,25.9,67.1,7.77,10.65,25.13
49,2010,2010,388,67.78,"19,662",353,10.96,47.8,5.6,18.53,46.6
50,2010,2010,203,63.55,"1,708",196,6.7,45.4,10.33,24.25,44.27
51,2010,2010,452,66.59,"3,938",443,3,42.88,14.28,10.07,42.85
52,2010,2010,170,66.47,"1,972",163,6.4,62.8,7.07,20.78,30.13
53,2010,2010,314,71.66,"2,747",301,7.62,35.6,9.23,9.9,55.18
54,2010,2010,350,71.71,"8,327",320,14.62,58.6,6.45,15.25,34.95
55,2010,2010,247,66.8,"3,592",229,13.44,58.05,10.35,12.57,31.6
1,2008,2008,288,91.67,"2,320",276,10.09,,,,
2,2008,2008,173,86.13,"1,143",168,25,,,,
3,2008,2008,239,88.66,"1,315",231,7.64,,,,
4,2008,2008,663,89.18,"8,367",646,7.19,,,,
5,2008,2008,396,86.22,"3,241",387,19.16,,,,
6,2008,2008,414,91.46,"2,476",389,12.08,,,,
7,2008,2008,175,92,"2,813",167,9.33,,,,
8,2008,2008,129,92.31,"1,055",126,16.33,,,,
9,2008,2008,218,89.04,"2,783",203,16.45,,,,
10,2008,2008,185,93.68,"1,077",168,8.75,,,,
11,2008,2008,201,89.05,591,199,33.33,,,,
12,2008,2008,65,79.49,804,75,50,,,,
